t,x,y,z
11.950000000000001,-4.26048811165844,-2.2410860835348463,25.390369539580796
11.96,-4.0726814845482116,-2.3391183936187727,24.81637892446948
11.97,-3.913005713852883,-2.4535766126865717,24.257876358247042
11.98,-3.7801917139687267,-2.582774262983682,23.715117479721236
11.99,-3.6724335887071033,-2.7259691534713584,23.188726161052745
12.0,-3.588847619234423,-2.8823539411494634,22.679082311164443
12.01,-3.5287570280536675,-3.0513046617772686,22.186512011503268
12.02,-3.4914299375250915,-3.2325464624958378,21.711447698543385
12.030000000000001,-3.4760793698662233,-3.4261536018280614,21.254428163786102
12.040000000000001,-3.481863247151873,-3.63254944967852,20.816098553760185
12.05,-3.5078843913141133,-3.8525064873336854,20.397210370021387
12.06,-3.5531905241422974,-4.087146307461792,19.99862146915276
12.07,-3.6167742672830525,-4.337939614112864,19.62129606276457
12.08,-3.69805782194708,-4.606154125535219,19.266407298858947
12.09,-3.7976396854725367,-4.89236464612651,18.935240671245424
12.1,-3.9158727392004877,-5.1977543769748875,18.629108570779913
12.11,-4.053079693368024,-5.5234809956935695,18.34966565853933
12.120000000000001,-4.209564756842256,-5.870659798927978,18.098913822088203
12.13,-4.385613637120201,-6.240363702355488,17.87920217547883
12.14,-4.581493540328946,-6.633623240685804,17.693227059251022
12.15,-4.797453171225545,-7.051426567660705,17.544032040432274
12.16,-5.03372273319704,-7.494719456054116,17.43500791253774
12.17,-5.290463860099726,-7.964159492190543,17.369731865411946
12.18,-5.567676446744613,-8.457867033426584,17.35091206470363
12.19,-5.866515525818512,-8.976355980725005,17.38424354744354
12.200000000000001,-6.187914843326564,-9.519668190241294,17.475935916618354
12.21,-6.5322541844420705,-10.08622590247482,17.631871951910643
12.22,-6.899359373506822,-10.672831742269404,17.857607609698977
12.23,-7.28850227403089,-11.274668718812933,18.158372023057865
12.24,-7.698400788692661,-11.885300225637465,18.539067501757767
12.25,-8.12721885933886,-12.496670040619227,19.004269532265095
12.26,-8.57256646698453,-13.099102325978603,19.558226777742213
12.27,-9.031499631813045,-13.681301628280153,20.204861078047436
12.280000000000001,-9.500520413176186,-14.230352878432686,20.947767449735178
12.290000000000001,-9.975520138204132,-14.733483985997063,21.788678019702566
12.3,-10.450536368583702,-15.175821313616543,22.722755720161985
12.31,-10.91799336057207,-15.535012570780834,23.74328286594299
12.32,-11.36978670900972,-15.79140263934819,24.83973294136522
12.33,-11.797310386092622,-15.928511127488765,25.997565121067623
12.34,-12.191456741372226,-15.933032369684605,27.198224270008446
12.35,-12.542616501755457,-15.794835426729659,28.419140943465244
12.36,-12.840678771504717,-15.506964085729765,29.6337313870349
12.370000000000001,-13.07504646690765,-15.065568749817384,30.811403078092862
12.38,-13.237919420028092,-14.463701486259799,31.919564571216007
12.39,-13.32282555271459,-13.721315598737625,32.928136872648494
12.4,-13.324158087758933,-12.870240619630236,33.81191533291154
12.41,-13.239326625732302,-11.939282028000072,34.55132734982493
12.42,-13.068757144985284,-10.954221249592644,35.132432368507
12.43,-12.815892001647866,-9.937815656836538,35.546921881374615
12.44,-12.487189929629436,-8.909798568843405,35.79211942814322
12.450000000000001,-12.092126040618709,-7.886879251407789,35.87098059582679
12.46,-11.64201273411228,-6.886103392855651,35.79266245135418
12.47,-11.142534443888094,-5.945184398916554,35.57457435402962
12.48,-10.605048321293992,-5.083372070591693,35.232713880960056
12.49,-10.041606295646519,-4.311205083770356,34.78354063535253
12.5,-9.46334688760325,-3.6349180555326828,34.24481693166863
12.51,-8.880495209162788,-3.0564415441496573,33.63560779562446
12.52,-8.302362963664773,-2.573402049083106,32.97628096419068
12.530000000000001,-7.7373484457897765,-2.179122010985645,32.28850688559235
12.540000000000001,-7.19286605005813,-1.8645167671135323,31.587456566976268
12.55,-6.674096746515555,-1.6223504703862248,30.8754351621792
12.56,-6.184616897447873,-1.4446913582948202,30.159834876618127
12.57,-5.727224891640772,-1.3237254843024961,29.44686965806655
12.58,-5.303945598842068,-1.2517790539505413,28.741454024612356
12.59,-4.916030369761707,-1.2213184248583555,28.047203064657808
12.6,-4.563957036071759,-1.224950106723452,27.36643243691955
12.61,-4.247408194727862,-1.2555906770528313,26.700221780857206
12.620000000000001,-3.965098305617261,-1.3093174967488972,26.04957384543124
12.63,-3.715656140615225,-1.38283317362423,25.41505388021847
12.64,-3.497714468394189,-1.4729056272119025,24.79693957845254
12.65,-3.309820650740631,-1.5768996638686843,24.19543479768665
12.66,-3.1504366425550185,-1.6927769767750487,23.610669559793433
12.67,-3.017938991851809,-1.8190961459351747,23.042700050964942
12.68,-2.91061883975945,-1.9550126381769437,22.49150862171267
