t,theta,omega
3.49,-0.3858259924274248,1.7984531417873735
3.5,-0.3676692720836109,1.8308403146391459
3.5100000000000002,-0.34919457481240374,1.861491123119844
3.52,-0.3304196887767973,1.8903716907065866
3.5300000000000002,-0.31136287578554156,1.9174494707416452
3.54,-0.2920428712931487,1.9426932464324373
3.5500000000000003,-0.27247888439988704,1.966073130851534
3.56,-0.25269059785178755,1.9875605669366505
3.5700000000000003,-0.23269816804063653,2.007128327490656
3.58,-0.21252222500398343,2.024750515181565
3.59,-0.19218387242513385,2.040402562542544
3.6,-0.17170468763315294,2.0540612319719083
3.61,-0.15110211223198342,2.0657142451287838
3.62,-0.13038861815786473,2.075363363484329
3.63,-0.10958606277777493,2.0829942848722456
3.64,-0.08871638225079947,2.0885949911974966
3.65,-0.06780126181838536,2.092156419028442
3.66,-0.046862135804333516,2.093672459596838
3.67,-0.025920187614806328,2.0931399587978388
3.68,-0.004996349738320138,2.0905587171899933
3.69,0.015888696254247298,2.08593148999525
3.7,0.03671451970966408,2.079263987098952
3.71,0.05746094089233708,2.070564873049841
3.72,0.07810803098431907,2.0598457670600534
3.73,0.09863611208530143,2.047121243005125
3.74,0.11902575721262143,2.0324088294239866
3.75,0.13925779030125518,2.015729009518967
3.7600000000000002,0.15931328620382434,1.99710522115579
3.77,0.17917357069058976,1.9765638568635793
3.7800000000000002,0.19882022044945769,1.954134263834852
3.79,0.21823506308597318,1.9298487439255259
3.8000000000000003,0.2374001771233275,1.9037425536549109
3.81,0.25629789200235037,1.8758539042057187
3.8200000000000003,0.2749107880815172,1.8462239614240537
3.83,0.29322169663694253,1.8148968458194208
3.84,0.3112136998623854,1.7819196325647193
3.85,0.32887013086924743,1.747342351496244
3.86,0.34617457368656995,1.7112179871136919
3.87,0.36311086326103975,1.67360247858015
3.88,0.37966308545698285,1.6345547197221089
3.89,0.39581557705637066,1.5941365590294498
3.9,0.41155292575881347,1.5524127996554573
3.91,0.42686536824132226,1.5094196230893704
3.92,0.44174604942735335,1.4651712724403227
3.93,0.45618165142548733,1.4197176388464774
3.94,0.47015939833884657,1.373108894260253
3.95,0.4836670998496286,1.3253952536206373
3.96,0.49669315121910096,1.276626974853203
3.97,0.5092265332876065,1.2268543588700918
3.98,0.5212568124745579,1.1761277495700302
3.99,0.5327741407784432,1.1244975338383139
4.0,0.5437692557768206,1.072014141546823
4.01,0.5542334806263225,1.0187280455540093
4.0200000000000005,0.5641587240626543,0.964689761704898
4.03,0.5735374804005916,0.9099498488311062
4.04,0.5823628295339849,0.8545589087508134
4.05,0.5906284369357565,0.7985675862687808
4.0600000000000005,0.5983285536579024,0.742026569176341
4.07,0.6054580163314884,0.68498658825142
4.08,0.612012247166656,0.627498417258504
4.09,0.6179872539526177,0.5696128729486624
4.1,0.6233796300576591,0.5113808150595411
4.11,0.6281865544291385,0.45285314631535756
4.12,0.632405791593486,0.39408081242692217
4.13,0.6360356916562051,0.3351148020916066
4.14,0.6390751903018721,0.2760061469933641
4.15,0.6415238087941354,0.21680592180272074
4.16,0.6433816539757159,0.1575652441767943
4.17,0.6446494182684076,0.09833527475926362
4.18,0.6453283796730769,0.0391672171803914
4.19,0.6454204017696628,-0.01988768194299073
4.2,0.6449281388128059,-0.07879094044200206
4.21,0.6438539716818363,-0.13753283841628533
4.22,0.6421987627212792,-0.19606623138052454
4.23,0.6399638065261679,-0.25434128271527623
4.24,0.6371509309280959,-0.31230857311528226
4.25,0.6337624969952143,-0.36991910058950067
4.26,0.6298013990322334,-0.42712428046108475
4.2700000000000005,0.6252710645804217,-0.4838759453673933
4.28,0.6201754544176077,-0.5401263452599709
4.29,0.6145190625581773,-0.5958281474045781
4.3,0.6083069162530761,-0.6509344363811703
4.3100000000000005,0.6015445759898072,-0.7053987140839088
4.32,0.5942381354924342,-0.7591748997211406
4.33,0.5863942217215783,-0.8122173298154286
4.34,0.5780199948744195,-0.8644807582035309
4.3500000000000005,0.5691231483846959,-0.9159203560364109
4.36,0.5597119089227066,-0.9664917117792183
4.37,0.5497950363953075,-1.016150831211318
4.38,0.5393818239459134,-1.064854137426271
4.39,0.5284820979544982,-1.1125584708318381
4.4,0.5171062180375936,-1.1592210891499852
4.41,0.5052650770482929,-1.2047996674168664
4.42,0.49297010107624534,-1.249252297982849
4.43,0.4802332494476595,-1.292537490512497
4.44,0.46706701472530177,-1.3346141719845774
4.45,0.453484422708501,-1.3754416866920485
4.46,0.43949903243314087,-1.4149797962420785
4.47,0.42512493617166525,-1.453188679556035
4.48,0.4103767594330753,-1.490028932869486
4.49,0.39526966096293503,-1.5254615697321932
4.5,0.3798193327433631,-1.5594480210081276
4.51,0.3640419999930381,-1.591950134875458
4.5200000000000005,0.3479544211671964,-1.6229301768265556
4.53,0.331573507084064,-1.652352098072765
4.54,0.314906418539799,-1.6802126409000464
4.55,0.2979661345382348,-1.706486738836407
4.5600000000000005,0.28077041361837285,-1.7311354889339405
4.57,0.2633370321985377,-1.754122808848847
4.58,0.24568378457636758,-1.775415436841445
4.59,0.22782848292882046,-1.794982931776164
4.6000000000000005,0.20978895731217118,-1.8127976731215472
4.61,0.19158305566201764,-1.8288348609502456
4.62,0.17322864379327127,-1.8430725159390278
4.63,0.1547436054001634,-1.855491479368773
4.64,0.13614584205624383,-1.8660754131244728
4.65,0.11745327321437887,-1.8748107996952326
4.66,0.09868383620675816,-1.8816869421742677
4.67,0.07985548624488475,-1.8866959642589085
4.68,0.060986196419581695,-1.8898328102505968
4.69,0.04209395770098856,-1.891095245054887
4.7,0.023196778938568363,-1.8904838541814464
4.71,0.004312686861097537,-1.8880020437440543
4.72,-0.014540273923327685,-1.883656040460603
4.73,-0.033344040927294316,-1.8774548916530966
4.74,-0.05208053378406602,-1.869410465247653
4.75,-0.0707316542475932,-1.859537449774502
4.76,-0.08927928619250619,-1.8478533543679854
4.7700000000000005,-0.10770529561411868,-1.8343785087665565
4.78,-0.12599153062842106,-1.8191360633127855
4.79,-0.14411982147209051,-1.8021519889533506
4.8,-0.1620719805024839,-1.7834550772390447
4.8100000000000005,-0.1798298021976416,-1.7630769403247704
4.82,-0.1973750631562809,-1.741052010969549
4.83,-0.21468952209780529,-1.7174175425365081
4.84,-0.23175491986229874,-1.692213608992891
4.8500000000000005,-0.24855297941052784,-1.6654831049100496
4.86,-0.265069791498871,-1.6372598254371076
4.87,-0.2813009210756232,-1.6075516781228636
4.88,-0.2972312291688235,-1.5763949312026646
4.89,-0.3128452953911763,-1.5438285802669638
4.9,-0.328128228744612,-1.5098922325901913
4.91,-0.3430656676202816,-1.4746261071307665
4.92,-0.35764377979856493,-1.4380710345310794
4.93,-0.37184926244906497,-1.4002684571175026
4.94,-0.38566934213061077,-1.3612604289003856
4.95,-0.39909177479125213,-1.3210896155740675
4.96,-0.41210484576826734,-1.2797992945168573
4.97,-0.42469736978815825,-1.237433354791047
4.98,-0.4368586909666521,-1.194036297142905
4.99,-0.4485786828086979,-1.1496532340026908
5.0,-0.4598477482084723,-1.104329889484632
5.01,-0.4706568194493758,-1.0581125993869405
5.0200000000000005,-0.4809973582040342,-1.0110483111918032
5.03,-0.49086135553429544,-0.9631845840653998
5.04,-0.5002413318912347,-0.9145695888578769
5.05,-0.509130337115151,-0.8652521081033656
5.0600000000000005,-0.5175219504355686,-0.8152815360199721
5.07,-0.5254102804712346,-0.7647078785097958
5.08,-0.5327899652301226,-0.7135817531589029
5.09,-0.5396561721094302,-0.6619543892373433
5.1000000000000005,-0.5460045978955802,-0.6098776276991427
5.11,-0.5518314687642186,-0.5574039211823194
5.12,-0.5571335402802176,-0.5045863340088597
5.13,-0.5619080973976732,-0.4514785421847327
5.14,-0.5661529544599067,-0.398134833399888
5.15,-0.5698667668844457,-0.34460575292057116
5.16,-0.573050740236979,-0.29090092703713777
5.17,-0.5757029041479544,-0.23705631998076762
5.18,-0.5778208853389507,-0.18311801578881684
5.19,-0.5794028331359959,-0.12913185771390662
5.2,-0.5804474194695676,-0.07514344822394198
5.21,-0.5809538388745931,-0.02119814900208311
5.22,-0.5809218084904492,0.032658919053235036
5.23,-0.5803515680609622,0.086382875828313
5.24,-0.5792438799344082,0.1399290819941672
5.25,-0.5776000290635127,0.19325313900655894
5.26,-0.5754218230054505,0.24631088910597487
5.2700000000000005,-0.5727115919218462,0.2990584153176369
5.28,-0.5694721885787744,0.35145204145148323
5.29,-0.5657069883467584,0.403448332102196
5.3,-0.5614198892007717,0.4550040926491843
5.3100000000000005,-0.5566153117202365,0.5060763692565907
5.32,-0.5512981990890262,0.5566224488732756
5.33,-0.5454740170954623,0.6065998592328425
5.34,-0.5391487541323162,0.6559663688536217
5.3500000000000005,-0.5323289211968084,0.7046799870386771
5.36,-0.5250215518906108,0.7526989638757915
5.37,-0.517234202419843,0.799981790237489
